alpha-3,context,bucketLatrine,compostingToilet,flushOpen,flushPit,flushSeptic,flushSewer,flushUnknown,hangingToilet,openDefecation,other,pitNoSlab,pitSlab,onsiteDumpedLand,emptyFrequency,pitAdditive,urine,twinPits
AFG,Rural,0.0,0.0,0.003,0.007,0.019,0.017,0.0,0.0,0.149,0.006,0.222,0.577,0.1,3,0,0,0
AFG,Urban,0.0,0.0,0.01,0.023,0.226,0.1,0.0,0.0,0.002,0.001,0.152,0.486,0.1,3,0,0,0
AGO,Rural,0.002,0.0,0.0759,0.0,0.2707,0.023,0.0,0.0,0.6274,0.001,0.0,0.0,0.1,3,0,0,0
AGO,Urban,0.004,0.0,0.04,0.0,0.756,0.117,0.0,0.0,0.078,0.005,0.0,0.0,0.1,3,0,0,0
ALB,Rural,0.0,0.005,0.038,0.361,0.097,0.478,0.009,0.0,0.0,0.002,0.007,0.003,0.1,3,0,0,0
ALB,Urban,0.0,0.002,0.009,0.0561,0.014,0.9119,0.005,0.0,0.0,0.0,0.001,0.001,0.1,3,0,0,0
AND,Rural,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
AND,Urban,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
ARE,Rural,0.0,0.0,0.001,0.0,0.028,0.859,0.106,0.0,0.0,0.0,0.0,0.006,0.1,3,0,0,0
ARE,Urban,0.0,0.0,0.002,0.002,0.01,0.9439,0.038,0.0,0.0,0.0,0.0,0.004,0.1,3,0,0,0
ARG,Rural,0.0,0.0,0.0,0.381,0.375,0.045,0.0,0.0,0.077,0.0,0.122,0.0,0.1,3,0,0,0
ARG,Urban,0.0,0.0,0.0,0.187,0.254,0.538,0.0,0.0,0.021,0.0,0.0,0.0,0.1,3,0,0,0
ARM,Rural,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.714,0.0,0.0,0.1,3,0,0,0
ARM,Urban,0.0,0.0,0.0,0.0,0.0,0.981,0.0,0.0,0.0,0.019,0.0,0.0,0.1,3,0,0,0
ATG,Rural,0.0,0.0,0.0,0.1059,0.8531,0.001,0.0,0.0,0.003,0.001,0.0,0.036,0.1,3,0,0,0
ATG,Urban,0.0,0.0,0.0,0.132,0.725,0.02,0.0,0.0,0.011,0.01,0.0,0.102,0.1,3,0,0,0
AUS,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3,0,0,0
AUS,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3,0,0,0
AUT,Rural,0.0,0.0,0.0,0.0,0.0,0.997,0.0,0.0,0.0,0.003,0.0,0.0,0.1,3,0,0,0
AUT,Urban,0.0,0.0,0.0,0.0,0.0,0.985,0.0,0.0,0.0,0.015,0.0,0.0,0.1,3,0,0,0
AZE,Rural,0.0,0.0,0.0,0.0,0.0,0.967,0.0,0.0,0.0,0.033,0.0,0.0,0.1,3,0,0,0
AZE,Urban,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.002,0.0,0.0,0.1,3,0,0,0
BDI,Rural,0.0,0.002,0.0,0.0,0.004,0.0,0.0,0.001,0.024,0.0,0.486,0.483,0.1,3,0,0,0
BDI,Urban,0.0,0.001,0.0,0.017,0.2753,0.032,0.001,0.001,0.005,0.0,0.1832,0.4845,0.1,3,0,0,0
BEL,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3,0,0,0
BEL,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3,0,0,0
BEN,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5864,0.4136,0.0,0.0,0.1,3,0,0,0
BEN,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.692,0.0,0.0,0.1,3,0,0,0
BFA,Rural,0.0,0.004,0.001,0.001,0.0,0.001,0.0,0.004,0.499,0.0,0.094,0.396,0.1,3,0,0,0
BFA,Urban,0.0,0.0,0.0,0.023,0.0661,0.013,0.002,0.001,0.0671,0.0,0.024,0.8036,0.1,3,0,0,0
BGD,Rural,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,0.1,3,0,0,0
BGD,Urban,0.0,0.0,0.043,0.1311,0.3664,0.2933,0.0,0.001,0.0,0.004,0.011,0.1502,0.1,3,0,0,0
BGR,Rural,0.0,0.0,0.0,0.0,0.0,0.576,0.0,0.0,0.0,0.424,0.0,0.0,0.1,3,0,0,0
BGR,Urban,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.04,0.0,0.0,0.1,3,0,0,0
BHS,Rural,0.0,0.0,0.0,0.0,0.0,0.459,0.0,0.0,0.0,0.541,0.0,0.0,0.1,3,0,0,0
BHS,Urban,0.0,0.0,0.0,0.0,0.0,0.712,0.0,0.0,0.0,0.288,0.0,0.0,0.1,3,0,0,0
BIH,Rural,0.0,0.0,0.054,0.003,0.58,0.299,0.002,0.0,0.0,0.001,0.018,0.043,0.1,3,0,0,0
BIH,Urban,0.0,0.0,0.005,0.0,0.153,0.833,0.0,0.0,0.0,0.002,0.001,0.006,0.1,3,0,0,0
BLR,Rural,0.0,0.0,0.0,0.0,0.0,0.836,0.0,0.0,0.0,0.164,0.0,0.0,0.1,3,0,0,0
BLR,Urban,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.1,3,0,0,0
BLZ,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.0,0.711,0.1,3,0,0,0
BLZ,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.94,0.1,3,0,0,0
BOL,Rural,0.0,0.032,0.0,0.025,0.066,0.087,0.0,0.0,0.305,0.0,0.213,0.272,0.1,3,0,0,0
BOL,Urban,0.0,0.002,0.001,0.02,0.1528,0.6883,0.001,0.0,0.01,0.0,0.021,0.1039,0.1,3,0,0,0
BRA,Rural,0.0,0.0,0.0279,0.0,0.0,0.0938,0.0,0.0,0.0489,0.0878,0.0319,0.7096,0.1,3,0,0,0
BRA,Urban,0.0,0.0,0.014,0.0,0.0,0.75,0.0,0.0,0.001,0.005,0.01,0.22,0.1,3,0,0,0
BRB,Rural,0.0,0.0,0.0,0.8472,0.0639,0.008,0.003,0.0,0.005,0.005,0.0,0.0679,0.1,3,0,0,0
BRB,Urban,0.0,0.0,0.0,0.7655,0.1172,0.0701,0.011,0.0,0.002,0.001,0.0,0.0331,0.1,3,0,0,0
BRN,Rural,0.0,0.0,0.0,0.0,0.956,0.0,0.0,0.0,0.009,0.0,0.0,0.035,0.1,3,0,0,0
BRN,Urban,0.0,0.0,0.0,0.0,0.952,0.0,0.0,0.0,0.031,0.0,0.0,0.017,0.1,3,0,0,0
BTN,Rural,0.013,0.0271,0.004,0.1683,0.2204,0.0802,0.001,0.0561,0.022,0.0,0.1723,0.2355,0.1,3,0,0,0
BTN,Urban,0.007,0.001,0.003,0.076,0.434,0.41,0.002,0.005,0.003,0.0,0.027,0.032,0.1,3,0,0,0
BWA,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.838,0.0,0.0,0.1,3,0,0,0
BWA,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.962,0.0,0.0,0.1,3,0,0,0
CAF,Rural,0.0,0.066,0.0,0.002,0.0,0.0,0.0,0.044,0.391,0.002,0.443,0.052,0.1,3,0,0,0
CAF,Urban,0.0,0.0731,0.003,0.009,0.007,0.004,0.0,0.031,0.0611,0.001,0.5105,0.3003,0.1,3,0,0,0
CAN,Rural,0.0,0.0,0.0,0.0,0.3441,0.6559,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
CAN,Urban,0.0,0.0,0.0,0.0,0.0651,0.9349,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
CHE,Rural,0.0,0.0,0.0,0.0,0.02,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.1,3,0,0,0
CHE,Urban,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
CHN,Rural,0.009,0.04,0.0,0.011,0.0649,0.2887,0.0,0.0,0.009,0.006,0.3227,0.2488,0.1,3,0,0,0
CHN,Urban,0.004,0.007,0.0,0.001,0.0329,0.7914,0.0,0.0,0.001,0.007,0.0778,0.0778,0.1,3,0,0,0
CIV,Rural,0.014,0.01,0.0,0.008,0.038,0.005,0.001,0.011,0.4304,0.02,0.1491,0.3133,0.1,3,0,0,0
CIV,Urban,0.002,0.001,0.008,0.028,0.2793,0.1271,0.007,0.001,0.018,0.001,0.0771,0.4505,0.1,3,0,0,0
CMR,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.938,0.0,0.0,0.1,3,0,0,0
CMR,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.944,0.0,0.0,0.1,3,0,0,0
COD,Rural,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.031,0.177,0.007,0.619,0.158,0.1,3,0,0,0
COD,Urban,0.001,0.007,0.011,0.038,0.1898,0.02,0.004,0.025,0.038,0.003,0.3866,0.2767,0.1,3,0,0,0
COG,Rural,0.001,0.002,0.0,0.001,0.005,0.0,0.0,0.018,0.2342,0.004,0.5886,0.1461,0.1,3,0,0,0
COG,Urban,0.005,0.0261,0.002,0.0281,0.2375,0.0,0.001,0.003,0.017,0.001,0.2094,0.4699,0.1,3,0,0,0
COL,Rural,0.0,0.0,0.0503,0.0322,0.6201,0.1367,0.0,0.0,0.1427,0.0,0.0,0.0181,0.1,3,0,0,0
COL,Urban,0.0,0.0,0.018,0.001,0.0509,0.9221,0.0,0.0,0.007,0.0,0.0,0.001,0.1,3,0,0,0
COM,Rural,0.001,0.015,0.005,0.01,0.0309,0.0349,0.006,0.0539,0.006,0.0,0.6188,0.2186,0.1,3,0,0,0
COM,Urban,0.0,0.014,0.004,0.039,0.079,0.074,0.002,0.031,0.004,0.0,0.431,0.322,0.1,3,0,0,0
CPV,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.833,0.0,0.0,0.1,3,0,0,0
CPV,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.942,0.0,0.0,0.1,3,0,0,0
CRI,Rural,0.0,0.0,0.0,0.019,0.897,0.051,0.0,0.0,0.005,0.0,0.0,0.028,0.1,3,0,0,0
CRI,Urban,0.0,0.0,0.0,0.018,0.66,0.313,0.0,0.0,0.002,0.001,0.0,0.006,0.1,3,0,0,0
CUB,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.99,0.1,3,0,0,0
CUB,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.998,0.1,3,0,0,0
CYP,Rural,0.0,0.0,0.0,0.0,0.829,0.169,0.0,0.0,0.0,0.002,0.0,0.0,0.1,3,0,0,0
CYP,Urban,0.0,0.0,0.0,0.0,0.27,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
CZE,Rural,0.0,0.0,0.0,0.0,0.0,0.991,0.0,0.0,0.0,0.009,0.0,0.0,0.1,3,0,0,0
CZE,Urban,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.004,0.0,0.0,0.1,3,0,0,0
DEU,Rural,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
DEU,Urban,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
DJI,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5908,0.0,0.1605,0.2487,0.1,3,0,0,0
DJI,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0,0.195,0.7919,0.1,3,0,0,0
DMA,Rural,0.0,0.0,0.0,0.0,0.3566,0.033,0.0,0.0,0.1439,0.013,0.0,0.4535,0.1,3,0,0,0
DMA,Urban,0.0,0.0,0.0,0.0,0.4505,0.2438,0.0,0.0,0.1768,0.028,0.0,0.1009,0.1,3,0,0,0
DNK,Rural,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.001,0.0,0.0,0.1,3,0,0,0
DNK,Urban,0.0,0.0,0.0,0.0,0.0,0.991,0.0,0.0,0.0,0.009,0.0,0.0,0.1,3,0,0,0
DOM,Rural,0.0,0.0,0.001,0.0,0.614,0.029,0.006,0.0,0.054,0.0,0.034,0.262,0.1,3,0,0,0
DOM,Urban,0.0,0.0,0.004,0.0,0.6527,0.2415,0.0379,0.0,0.01,0.0,0.007,0.0469,0.1,3,0,0,0
DZA,Rural,0.0,0.0,0.0811,0.012,0.165,0.5705,0.0793,0.0,0.0129,0.0,0.0129,0.0664,0.1,3,0,0,0
DZA,Urban,0.0,0.0,0.007,0.0,0.0159,0.9682,0.007,0.0,0.0,0.0,0.0,0.002,0.1,3,0,0,0
ECU,Rural,0.0,0.0,0.0,0.098,0.55,0.234,0.0,0.0,0.083,0.035,0.0,0.0,0.1,3,0,0,0
ECU,Urban,0.0,0.0,0.0,0.015,0.158,0.818,0.0,0.0,0.008,0.001,0.0,0.0,0.1,3,0,0,0
EGY,Rural,0.0,0.0,0.011,0.0,0.3273,0.5435,0.001,0.0,0.007,0.1101,0.0,0.0,0.1,3,0,0,0
EGY,Urban,0.0,0.0,0.002,0.0,0.052,0.916,0.0,0.0,0.001,0.029,0.0,0.0,0.1,3,0,0,0
ERI,Rural,0.0,0.0,0.0,0.006,0.011,0.0,0.0,0.0,0.902,0.026,0.0,0.055,0.1,3,0,0,0
ERI,Urban,0.0,0.0,0.0,0.021,0.117,0.101,0.0,0.0,0.342,0.316,0.0,0.103,0.1,3,0,0,0
ESP,Rural,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.001,0.0,0.0,0.1,3,0,0,0
ESP,Urban,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.001,0.0,0.0,0.1,3,0,0,0
EST,Rural,0.0,0.0,0.0,0.0,0.466,0.479,0.0,0.0,0.0,0.055,0.0,0.0,0.1,3,0,0,0
EST,Urban,0.0,0.0,0.0,0.0,0.0282,0.9718,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
ETH,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.583,0.0,0.0,0.1,3,0,0,0
ETH,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.802,0.0,0.0,0.1,3,0,0,0
FIN,Rural,0.0,0.0,0.0,0.0,0.0,0.992,0.0,0.0,0.0,0.008,0.0,0.0,0.1,3,0,0,0
FIN,Urban,0.0,0.0,0.0,0.0,0.0,0.997,0.0,0.0,0.0,0.003,0.0,0.0,0.1,3,0,0,0
